id,category,item,result,detail
"PY001","PY","解释器版本","INFO","3.14.6 (tags/v3.14.6:c63aec6, Jun 10 2026, 10:26:10) [MSC v.1944 64 bit (AMD64)]"
"PY002","PY","importlib.util.spec_from_file_location (>=3.4)","AVAILABLE",""
"PY003","PY","imp.load_source (3.4 前的配置加载梯)","MISSING","imp 模块不可用(ModuleNotFoundError) —— Py3.12 起已移除, shim 终梯=exec 兜底"
"PY004","PY","os.replace (>=3.3)","AVAILABLE",""
"PY005","PY","os.makedirs(exist_ok=True) (>=3.2)","AVAILABLE",""
"PY006","PY","ast.AsyncFunctionDef (>=3.5, 仅主脚本 --selftest 用)","AVAILABLE",""
"PY007","PY","nonlocal 关键字","AVAILABLE",""
"PY008","PY","inspect.signature (>=3.3)","AVAILABLE",""
"VER001","VER","UF.AskVersion()","SKIP","无 NX 环境(裸 Python)"
"VER002","VER","环境变量 UGII_VERSION","SKIP","无 NX 环境"
"VER003","VER","环境变量 UGII_ROOT_DIR","SKIP","无 NX 环境"
"VER004","VER","环境变量 UGII_BASE_DIR/UGII_UG_DIR","SKIP","无 NX 环境"
"VER005","VER","NXOpen 模块路径版本解析(首选通道)","SKIP","无 NX 环境"
"API001","API","NXOpen API","SKIP","无 NX 环境"
"API002","API","NXOpen API","SKIP","无 NX 环境"
"API003","API","NXOpen API","SKIP","无 NX 环境"
"API004","API","NXOpen API","SKIP","无 NX 环境"
"API005","API","NXOpen API","SKIP","无 NX 环境"
"API006","API","NXOpen API","SKIP","无 NX 环境"
"API007","API","NXOpen API","SKIP","无 NX 环境"
"API008","API","NXOpen API","SKIP","无 NX 环境"
"API009","API","NXOpen API","SKIP","无 NX 环境"
"API010","API","NXOpen API","SKIP","无 NX 环境"
"API011","API","NXOpen API","SKIP","无 NX 环境"
"API012","API","NXOpen API","SKIP","无 NX 环境"
"API013","API","NXOpen API","SKIP","无 NX 环境"
"API014","API","NXOpen API","SKIP","无 NX 环境"
"API015","API","NXOpen API","SKIP","无 NX 环境"
"API016","API","NXOpen API","SKIP","无 NX 环境"
"API017","API","NXOpen API","SKIP","无 NX 环境"
"API018","API","NXOpen API","SKIP","无 NX 环境"
"API019","API","NXOpen API","SKIP","无 NX 环境"
"API020","API","NXOpen API","SKIP","无 NX 环境"
"API021","API","NXOpen API","SKIP","无 NX 环境"
"API022","API","NXOpen API","SKIP","无 NX 环境"
"API023","API","NXOpen API","SKIP","无 NX 环境"
"API024","API","NXOpen API","SKIP","无 NX 环境"
"API025","API","NXOpen API","SKIP","无 NX 环境"
"MAR001","MAR","数组参数编组","SKIP","无 NX 环境"
"MAR002","MAR","数组参数编组","SKIP","无 NX 环境"
"MAR003","MAR","数组参数编组","SKIP","无 NX 环境"
"MAR004","MAR","数组参数编组","SKIP","无 NX 环境"
"MAR005","MAR","数组参数编组","SKIP","无 NX 环境"
"MAR006","MAR","数组参数编组","SKIP","无 NX 环境"
"UI001","UI","BlockStyler","SKIP","无 NX 环境"
"UI002","UI","BlockStyler","SKIP","无 NX 环境"
"UI003","UI","BlockStyler","SKIP","无 NX 环境"
"UI004","UI","BlockStyler","SKIP","无 NX 环境"
"UI005","UI","BlockStyler","SKIP","无 NX 环境"
